gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1025,6144,4096,ck,0,0,83.7353,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,616.11,501.1,0.0
gfx942,304,1025,6144,6144,ck,0,0,116.6609,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,663.33,485.52,0.0
gfx942,304,3073,6144,3072,ck,0,0,140.0335,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,828.39,471.86,0.0
gfx942,304,3073,6144,4096,ck,0,0,180.7336,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,855.79,417.82,0.0
gfx942,304,3073,6144,6144,ck,0,0,256.3134,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,905.16,368.26,0.0
gfx942,304,7169,6144,3072,ck,0,0,291.9627,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,926.9,441.8,0.0
gfx942,304,7169,6144,4096,ck,0,0,382.0099,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,944.55,373.35,0.0
gfx942,304,7169,6144,6144,ck,0,0,570.9142,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,948.03,297.57,0.0
gfx942,304,8192,6144,3072,ck,0,0,337.3339,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,916.71,428.96,0.0
gfx942,304,8192,6144,6144,ck,0,0,638.6546,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,968.4,295.53,0.0
gfx942,304,8193,6144,3072,ck,0,0,338.3315,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,914.12,427.74,0.0
gfx942,304,8193,6144,4096,ck,0,0,443.5892,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,929.62,359.34,0.0
gfx942,304,8193,6144,6144,ck,0,0,644.6609,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,959.5,292.81,0.0
gfx942,304,8194,6144,3072,ck,0,0,340.5491,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,908.28,425.0,0.0
gfx942,304,8194,6144,4096,ck,0,0,445.9444,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,924.82,357.48,0.0
gfx942,304,8194,6144,6144,ck,0,0,647.6029,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,955.26,291.51,0.0
gfx942,304,8195,6144,3072,ck,0,0,343.3641,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,900.94,421.56,0.0
gfx942,304,8195,6144,4096,ck,0,0,444.4975,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,927.94,358.68,0.0
gfx942,304,8195,6144,6144,ck,0,0,643.0483,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,962.14,293.6,0.0
gfx942,304,8196,6144,3072,ck,0,0,340.1445,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,909.58,425.6,0.0
gfx942,304,8196,6144,4096,ck,0,0,444.8108,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,927.4,358.46,0.0
gfx942,304,8196,6144,6144,ck,0,0,646.7593,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,956.74,291.94,0.0
gfx942,304,8197,6144,3072,ck,0,0,340.8566,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,907.79,424.75,0.0
gfx942,304,8197,6144,4096,ck,0,0,441.3698,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,934.75,361.3,0.0
gfx942,304,8197,6144,6144,ck,0,0,643.7051,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,961.39,293.36,0.0
gfx942,304,8198,6144,3072,ck,0,0,341.1703,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,907.07,424.41,0.0
gfx942,304,8198,6144,4096,ck,0,0,442.8789,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,931.67,360.1,0.0
gfx942,304,8198,6144,6144,ck,0,0,638.7093,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,969.03,295.68,0.0
gfx942,304,8199,6144,3072,ck,0,0,339.6517,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,911.23,426.35,0.0
gfx942,304,8199,6144,4096,ck,0,0,443.7934,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,929.87,359.4,0.0
gfx942,304,8199,6144,6144,ck,0,0,645.3408,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,959.19,292.67,0.0
gfx942,304,8202,6144,3072,ck,0,0,339.2244,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,912.71,427.02,0.0
gfx942,304,8202,6144,4096,ck,0,0,443.0379,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,931.79,360.12,0.0
